Order_ID,Order_Date,Store_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Amount,Profit,Payment_Method
ORD00001,16-02-2024,STORE046,C1906,P60,1,616,616,182,Wallet
ORD00002,20-02-2024,STORE065,C2485,P18,3,326,978,303,Debit Card
ORD00003,09-01-2024,STORE010,C1070,P09,1,658,658,247,UPI
ORD00004,16-02-2024,STORE064,C2084,P238,5,898,4490,1180,Cash
ORD00005,06-09-2024,STORE069,C569,P08,17,789,13413,2941,Net Banking
ORD00006,26-08-2024,STORE064,C1124,P34,18,465,8370,4806,Cash
ORD00007,24-01-2024,STORE045,C465,P264,19,510,9690,1919,UPI
ORD00008,03-09-2024,STORE040,C2380,P33,10,860,8600,1660,Net Banking
ORD00009,20-08-2024,STORE052,C1192,P128,7,664,4648,763,Net Banking
ORD00010,03-01-2024,STORE080,C180,P261,3,923,2769,765,UPI
ORD00011,28-01-2024,STORE017,C2037,P194,6,856,5136,1014,Cash
ORD00012,12-10-2024,STORE034,C2134,P84,3,857,2571,597,Cash
ORD00013,28-09-2024,STORE032,C212,P178,4,948,3792,1164,Cash
ORD00014,01-08-2024,STORE051,C1351,P233,2,389,778,218,UPI
ORD00015,20-03-2024,STORE005,C265,P91,9,566,5094,1251,UPI
ORD00016,15-10-2024,STORE074,C734,P238,2,898,1796,472,UPI
ORD00017,25-10-2024,STORE072,C1532,P254,11,698,7678,2629,Net Banking
ORD00018,31-10-2024,STORE030,C2050,P24,16,925,14800,3680,Net Banking
ORD00019,31-05-2024,STORE041,C1901,P266,15,439,6585,3180,UPI
ORD00020,02-03-2024,STORE041,C861,P214,14,663,9282,2310,Wallet
ORD00021,02-12-2024,STORE023,C523,P249,13,313,4069,1417,UPI
ORD00022,25-12-2024,STORE065,C885,P177,4,864,3456,796,Debit Card
ORD00023,20-03-2024,STORE004,C744,P298,9,800,7200,1971,Net Banking
ORD00024,10-02-2024,STORE046,C1426,P229,3,797,2391,807,UPI
ORD00025,22-04-2024,STORE036,C296,P147,2,817,1634,286,UPI
ORD00026,23-08-2024,STORE040,C460,P163,10,425,4250,1550,Cash
ORD00027,13-04-2024,STORE015,C1155,P38,14,533,7462,2674,Cash
ORD00028,30-04-2024,STORE078,C898,P236,17,529,8993,4930,Net Banking
ORD00029,25-12-2024,STORE040,C1580,P106,17,731,12427,3553,UPI
ORD00030,31-01-2024,STORE075,C2495,P105,10,732,7320,1330,Net Banking
ORD00031,08-10-2024,STORE029,C2289,P79,16,443,7088,2688,UPI
ORD00032,15-11-2024,STORE009,C669,P68,2,467,934,516,Cash
ORD00033,31-12-2024,STORE034,C694,P280,3,355,1065,582,UPI
ORD00034,16-03-2024,STORE007,C107,P32,3,557,1671,780,Wallet
ORD00035,15-06-2024,STORE004,C264,P222,13,640,8320,2691,Cash
ORD00036,19-11-2024,STORE042,C1662,P144,18,750,13500,5094,Wallet
ORD00037,18-03-2024,STORE049,C1829,P164,19,555,10545,5529,Net Banking
ORD00038,29-07-2024,STORE061,C481,P134,9,837,7533,2484,UPI
ORD00039,28-02-2024,STORE075,C2415,P142,17,506,8602,4284,Debit Card
ORD00040,27-10-2024,STORE004,C1224,P110,10,360,3600,1400,UPI
ORD00041,08-09-2024,STORE072,C1532,P226,8,522,4176,960,Cash
ORD00042,02-09-2024,STORE062,C1362,P02,3,718,2154,771,UPI
ORD00043,24-07-2024,STORE077,C1857,P246,6,814,4884,1380,Credit Card
ORD00044,08-07-2024,STORE004,C744,P145,19,745,14155,3705,Credit Card
ORD00045,22-09-2024,STORE060,C1520,P106,6,731,4386,1254,Wallet
ORD00046,03-12-2024,STORE007,C2427,P235,16,697,11152,1312,Cash
ORD00047,06-07-2024,STORE077,C2017,P54,1,947,947,260,Wallet
ORD00048,28-10-2024,STORE029,C2049,P34,5,465,2325,1335,UPI
ORD00049,14-12-2024,STORE070,C1530,P149,10,871,8710,1720,Credit Card
ORD00050,15-10-2024,STORE075,C1455,P289,10,598,5980,1150,Cash
ORD00051,21-12-2024,STORE023,C1243,P38,18,533,9594,3438,Credit Card
ORD00052,13-06-2024,STORE032,C1492,P262,11,679,7469,2002,UPI
ORD00053,25-10-2024,STORE028,C448,P270,19,691,13129,5168,UPI
ORD00054,11-03-2024,STORE045,C1105,P132,12,527,6324,3408,Net Banking
ORD00055,16-04-2024,STORE017,C1717,P20,2,580,1160,460,Credit Card
ORD00056,10-08-2024,STORE003,C1383,P265,12,586,7032,1500,Wallet
ORD00057,23-12-2024,STORE043,C383,P157,9,459,4131,837,UPI
ORD00058,15-09-2024,STORE055,C2475,P113,12,757,9084,2616,Cash
